subject,predicate,object,metadata
African bush elephant,has its birthing hit its highest point,just before rainy season of each year,"The genus consists of two extant species African bush elephant , L. average , males are about tall at shoulder in weight , while females are much smaller at about tall at shoulder in weight . Elephants attain their maximum stature when they complete fusion of long-bone epiphyses , occurring in males around age of 40 females around age of 25 . Their large size means that they must consume around 50 gallons of water every day in order to stay hydrated . Birthing of African bush elephant hits its highest point just before rainy season of each year . Females carry their young in womb for about 22 months , known as gestation period , they normally give birth every five years ."
Birthing of African bush elephant,hits highest point,just before rainy season of each year,Birthing of African bush elephant hits its highest point just before rainy season of each year .
Females,carry their young in,womb for about 22 months,"Females carry their young in womb for about 22 months , known as gestation period , they normally give birth every five years ."
Gestation period,known as,22 months,"Females carry their young in womb for about 22 months , known as gestation period , they normally give birth every five years ."
Females,give birth every,five years,"Females carry their young in womb for about 22 months , known as gestation period , they normally give birth every five years ."
Calves,can almost immediately walk to,maximize their chances of survival,"When born , calves can almost immediately walk to maximize their chances of survival , however they tend to be dependent on their mother for few years after birth ."
Newborns,tend to weigh around,90–120 kg,"Newborns tend to weigh around 90–120 kg , average weight is around 100 kg ."
Newborns,average weight is around,100 kg,"Newborns tend to weigh around 90–120 kg , average weight is around 100 kg ."
Females,reach sexual maturity at age,10,"Females also tend to reach sexual maturity at age 10 , they are most fertile from ages 25 to 45 ."
Females,are most fertile from ages,25 to 45,"Females also tend to reach sexual maturity at age 10 , they are most fertile from ages 25 to 45 ."
Mating system of African bush elephant,includes females males both pairing with,several others at time,"The mating system of African bush elephant includes females males both pairing with several others at time , also known has no natural predators due to its great size , calves ( especially newborns ) or juveniles that are vulnerable to attacks by lions ( especially in drought months ) crocodiles , ( rarely ) to leopard hyena attacks ."
African bush elephant,has no natural predators due to its great size,due to its great size,"The mating system of African bush elephant includes females males both pairing with several others at time , also known has no natural predators due to its great size , calves ( especially newborns ) or juveniles that are vulnerable to attacks by lions ( especially in drought months ) crocodiles , ( rarely ) to leopard hyena attacks ."
Calves ( especially newborns ) or juveniles,are vulnerable to attacks by lions ( especially in drought months ),lions ( especially in drought months ),"Calves ( especially newborns ) or juveniles that are vulnerable to attacks by lions ( especially in drought months ) crocodiles , ( rarely ) to leopard hyena attacks ."
Calves ( especially newborns ) or juveniles,are vulnerable to attacks by crocodiles ( rarely ),crocodiles ( rarely ),"Calves ( especially newborns ) or juveniles that are vulnerable to attacks by lions ( especially in drought months ) crocodiles , ( rarely ) to leopard hyena attacks ."
Calves ( especially newborns ) or juveniles,are vulnerable to attacks by leopard hyena attacks,leopard hyena attacks,"Calves ( especially newborns ) or juveniles that are vulnerable to attacks by lions ( especially in drought months ) crocodiles , ( rarely ) to leopard hyena attacks ."
Botswanas Chobe National Park,recorded exceptions to rule,adult African bush elephants were attacked consumed by lions,"Exceptions to this rule were recorded in Botswanas Chobe National Park , where even adult African bush elephants were attacked consumed by lions ."
Lions,successfully attacked 74 elephants between 1993 1996,74 elephants between 1993 1996,"Between 1993 1996 , lions successfully attacked 74 elephants , 26 were older than nine years , one bull of over 15 years ."
Botswana Chobe National Park,had exceptions to rule,attacked and consumed by lions,"Exceptions to this rule were recorded in Botswanas Chobe National Park , where even adult African bush elephants were attacked consumed by lions ."
Lions,successfully attacked,74 elephants between 1993 and 1996,"Between 1993 1996 , lions successfully attacked 74 elephants , 26 were older than nine years , one bull of over 15 years ."
Lions,killed eight elephants in October 2005,elephants aged between one and nine years,"Noting important ecological role African Elephant ( Loxodonta Africana ) plays in both savannah forest ecosystems acknowledging that demographic pressure development of human activities have significantly reduced African Elephants habitat endangering populations across West Africa , Article IV agreement was concluded came into effect on 22 November 2005 , after signature by third range State . Signatories to West African Elephant MoU In addition , two organizations have signed MoU As worlds largest terrestrial animal , elephant has acted as symbol of Africa . In recent times however , West African Natal red rock hare ( P. crassicaudatus ) are three species of hare that live in rocky environments , hence their name . These species are isolated from one another in where they live . There is introduced population of European rabbits on Robben Island , which is under culling programme ."
African Elephant ( Loxodonta Africana ),plays important ecological role,in savannah forest ecosystems,"Noting important ecological role African Elephant ( Loxodonta Africana ) plays in both savannah forest ecosystems acknowledging that demographic pressure development of human activities have significantly reduced African Elephants habitat endangering populations across West Africa , Article IV agreement was concluded came into effect on 22 November 2005 , after signature by third range State . Signatories to West African Elephant MoU In addition , two organizations have signed MoU As worlds largest terrestrial animal , elephant has acted as symbol of Africa . In recent times however , West African Natal red rock hare ( P. crassicaudatus ) are three species of hare that live in rocky environments , hence their name . These species are isolated from one another in where they live . There is introduced population of European rabbits on Robben Island , which is under culling programme ."
Demographic pressure development of human activities,has significantly reduced African Elephants habitat,across West Africa,"Noting important ecological role African Elephant ( Loxodonta Africana ) plays in both savannah forest ecosystems acknowledging that demographic pressure development of human activities have significantly reduced African Elephants habitat endangering populations across West Africa , Article IV agreement was concluded came into effect on 22 November 2005 , after signature by third range State . Signatories to West African Elephant MoU In addition , two organizations have signed MoU As worlds largest terrestrial animal , elephant has acted as symbol of Africa . In recent times however , West African Natal red rock hare ( P. crassicaudatus ) are three species of hare that live in rocky environments , hence their name . These species are isolated from one another in where they live . There is introduced population of European rabbits on Robben Island , which is under culling programme ."
European rabbits,introduced population on,Robben Island,"There is introduced population of European rabbits on Robben Island , which is under culling programme"
Afrotheria,best known member,Aardvark African bush elephant,The best known of these is aardvark African bush elephant
Steven Spielberg,made Indiana Jones Boy Scout in honor of,his experience in Scouting,Spielberg stated he made Indiana Jones Boy Scout in honor of his experience in Scouting.
Steven Spielberg,was awarded,Distinguished Eagle Scout Award,"For his career accomplishments , service to others , dedication to new merit badge Spielberg was awarded Distinguished Eagle Scout Award."
Steven Spielberg,received AFI Life Achievement Award in,1995,Steven Spielberg received AFI Life Achievement Award in 1995.
Steven Spielberg,was awarded,Federal Cross of Merit with Ribbon of Federal Republic of Germany,"In 1998 , he was awarded Federal Cross of Merit with Ribbon of Federal Republic of Germany."
Steven Spielberg,was presented with,Federal Cross of Merit with Ribbon of Federal Republic of Germany,"In 1998 , he was awarded Federal Cross of Merit with Ribbon of Federal Republic of Germany."
Steven Spielberg,received honorary most wins ( three ) in category of Academy Awards for Best Film Editing,1999,"In 1999 , Spielberg received honorary most wins ( three ) in category of Academy Awards for Best Film Editing , tied with Thelma Schoonmaker , Daniel Mandell , Ralph Dawson ."
Steven Spielberg,directed films for which he won Oscars,"Raiders of Lost Ark ( 1981 ) , Schindlers List ( 1993 ) , Saving Private Ryan ( 1998 )","All of films for which he won Oscars were directed by Steven Spielberg Raiders of Lost Ark ( 1981 ) , Schindlers List ( 1993 ) , Saving Private Ryan ( 1998 ) ."
Steven Spielberg,has received six BAFTA nominations for Best Editing,Fatal Attraction,"He has also received six BAFTA nominations for Best Editing , winning two for Schindlers List Fatal Attraction ."
Steven Spielberg,was selected for membership in American Cinema Editors ( ACE ),Kahn,Kahn has been selected for membership in American Cinema Editors ( ACE ) .
Steven Spielberg,received Career Achievement Award of American Cinema Editors in,2011,"In 2011 , he received Career Achievement Award of American Cinema Editors ."
He,received,six BAFTA nominations for Best Editing,"He has also received six BAFTA nominations for Best Editing , winning two for Schindlers List Fatal Attraction . Kahn has been selected for membership in American Cinema Editors ( ACE ) . In 2011 , he received Career Achievement Award of American Cinema Editors . At ceremony , Steven Spielberg said effects provided by friend George Lucass Industrial Light Magic company , film would eventually become highest-grossing film of all time ( at worldwide box office ) with 914.7 million . This would be third time that one of Spielbergs films became highest-grossing film ever . Spielbergs next film , Schindlers List , was based on true story of Oskar Schindler , man who risked his life to save 1,100 Jews from Holocaust . Schindlers List earned Spielberg his first Academy Award for Best Director ( it also won Best Picture ) . With film huge success at box office , Spielberg Hewitt . Jonathan Norman was arrested after making two attempts to enter Spielbergs Pacific Palisades home in June July 1997 . Norman was jailed for 25 years in California ."
Spielberg,said,effects provided by friend George Lucas Industrial Light Magic company would eventually become highest-grossing film of all time,"At ceremony , Steven Spielberg said effects provided by friend George Lucass Industrial Light Magic company , film would eventually become highest-grossing film of all time ( at worldwide box office ) with 914.7 million . This would be third time that one of Spielbergs films became highest-grossing film ever ."
Spielberg,next film,Schindlers List,"Spielberg's next film , Schindlers List , was based on true story of Oskar Schindler , man who risked his life to save 1,100 Jews from Holocaust . Schindlers List earned Spielberg his first Academy Award for Best Director ( it also won Best Picture ) . With film huge success at box office , Spielberg Hewitt ."
Schindlers List,earned,Spielberg his first Academy Award for Best Director,Schindlers List earned Spielberg his first Academy Award for Best Director ( it also won Best Picture ) .
Schindlers List,won,Best Picture,Schindlers List earned Spielberg his first Academy Award for Best Director ( it also won Best Picture ) .
Spielberg,next film,Schindlers List,"Spielberg's next film , Schindlers List , was based on true story of Oskar Schindler , man who risked his life to save 1,100 Jews from Holocaust . Schindlers List earned Spielberg his first Academy Award for Best Director ( it also won Best Picture ) . With film huge success at box office , Spielberg Hewitt ."
Schindlers List,based on true story of,Oskar Schindler,"Schindlers List earned Spielberg his first Academy Award for Best Director ( it also won Best Picture ) . Schindlers List was based on true story of Oskar Schindler , man who risked his life to save 1,100 Jews from Holocaust ."
Schindlers List,saved,"1,100 Jews from Holocaust","Schindlers List earned Spielberg his first Academy Award for Best Director ( it also won Best Picture ) . Schindlers List was based on true story of Oskar Schindler , man who risked his life to save 1,100 Jews from Holocaust ."
Schindlers List,earned,Spielberg his first Academy Award for Best Director,"Schindlers List earned Spielberg his first Academy Award for Best Director ( it also won Best Picture ) . Schindlers List was based on true story of Oskar Schindler , man who risked his life to save 1,100 Jews from Holocaust ."
Schindlers List,won,Best Picture,"Schindlers List earned Spielberg his first Academy Award for Best Director ( it also won Best Picture ) . Schindlers List was based on true story of Oskar Schindler , man who risked his life to save 1,100 Jews from Holocaust ."
Schindlers List,was based on true story of,Oskar Schindler,"Schindlers List was based on true story of Oskar Schindler , man who risked his life to save 1,100 Jews from Holocaust ."
Schindlers List,saved,"1,100 Jews from Holocaust","Schindlers List was based on true story of Oskar Schindler , man who risked his life to save 1,100 Jews from Holocaust ."
Schindlers List,earned,Spielberg his first Academy Award for Best Director,"Schindlers List earned Spielberg his first Academy Award for Best Director ( it also won Best Picture ) . Schindlers List was based on true story of Oskar Schindler , man who risked his life to save 1,100 Jews from Holocaust ."
Schindlers List,won,Best Picture,"Schindlers List earned Spielberg his first Academy Award for Best Director ( it also won Best Picture ) . Schindlers List was based on true story of Oskar Schindler , man who risked his life to save 1,100 Jews from Holocaust ."
Schindlers List,was based on true story of,Oskar Schindler,"Schindlers List was based on true story of Oskar Schindler , man who risked his life to save 1,100 Jews from Holocaust ."
Schindlers List,saved,"1,100 Jews from Holocaust","Schindlers List was based on true story of Oskar Schindler , man who risked his life to save 1,100 Jews from Holocaust ."
Schindlers List,earned,Spielberg his first Academy Award for Best Director,"Schindlers List earned Spielberg his first Academy Award for Best Director ( it also won Best Picture ) . Schindlers List was based on true story of Oskar Schindler , man who risked his life to save 1,100 Jews from Holocaust ."
Schindlers List,won,Best Picture,"Schindlers List earned Spielberg his first Academy Award for Best Director ( it also won Best Picture ) . Schindlers List was based on true story of Oskar Schindler , man who risked his life to save 1,100 Jews from Holocaust ."
Schindlers List,was based on true story of,Oskar Schindler,"Schindlers List was based on true story of Oskar Schindler , man who risked his life to save 1,100 Jews from Holocaust ."
Schindlers List,saved,"1,100 Jews from Holocaust","Schindlers List was based on true story of Oskar Schindler , man who risked his life to save 1,100 Jews from Holocaust ."
Schindlers List,earned,Spielberg his first Academy Award for Best Director,"Schindlers List earned Spielberg his first Academy Award for Best Director ( it also won Best Picture ) . Schindlers List was based on true story of Oskar Schindler , man who risked his life to save 1,100 Jews from Holocaust ."
Schindlers List,won,Best Picture,"Schindlers List earned Spielberg his first Academy Award for Best Director ( it also won Best Picture ) . Schindlers List was based on true story of Oskar Schindler , man who risked his life to save 1,100 Jews from Holocaust ."
Schindlers List,was based on true story of,Oskar Schindler,"Schindlers List was based on true story of Oskar Schindler , man who risked his life to save 1,100 Jews from Holocaust ."
Schindlers List,saved,"1,100 Jews from Holocaust","Schindlers List was based on true story of Oskar Schindler , man who risked his life to save 1,100 Jews from Holocaust ."
Schindlers List,earned,Spielberg his first Academy Award for Best Director,"Schindlers List earned Spielberg his first Academy Award for Best Director ( it also won Best Picture ) . Schindlers List was based on true story of Oskar Schindler , man who risked his life to save 1,100 Jews from Holocaust ."
Schindlers List,won,Best Picture,"Schindlers List earned Spielberg his first Academy Award for Best Director ( it also won Best Picture ) . Schindlers List was based on true story of Oskar Schindler , man who risked his life to save 1,100 Jews from Holocaust ."
Schindlers List,was based on true story of,Oskar Schindler,"Schindlers List was based on true story of Oskar Schindler , man who risked his life to save 1,100 Jews from Holocaust ."
Schindlers List,saved,"1,100 Jews from Holocaust","Schindlers List was based on true story of Oskar Schindler , man who risked his life to save 1,100 Jews from Holocaust ."
Schindlers List,earned,Spielberg his first Academy Award for Best Director,"Schindlers List earned Spielberg his first Academy Award for Best Director ( it also won Best Picture ) . Schindlers List was based on true story of Oskar Schindler , man who risked his life to save 1,100 Jews from Holocaust ."
Schindlers List,won,Best Picture,"Schindlers List earned Spielberg his first Academy Award for Best Director ( it also won Best Picture ) . Schindlers List was based on true story of Oskar Schindler , man who risked his life to save 1,100 Jews from Holocaust ."
Spielberg,arrested after,attempting to enter Pacific Palisades home,"With film huge success at box office , Spielberg Hewitt . Jonathan Norman was arrested after making two attempts to enter Spielbergs Pacific Palisades home in June July 1997 ."
Jonathan Norman,jail for,25 years in California,Norman was jailed for 25 years in California .
Spielberg,believed he would have been,raped or maimed or killed,"Spielberg told court Had Jonathan Norman actually confronted me , I genuinely , in my heart of hearts , believe that I would have been raped or maimed or killed ."
Spielberg,won three Academy Awards,Academy Awards,Spielberg has won three Academy Awards .
Spielberg,nominated for seven Academy Awards,Academy Awards,"Spielberg has won three Academy Awards . He has been nominated for seven Academy Awards for category of Best Director , winning two of them ( Schindlers List Saving Private Ryan ) , ten of films he directed were up for Best Picture Oscar trade , civil rights , war , terrorism ."
Spielberg,won Academy Award for Best Director,Schindlers List Saving Private Ryan,"Spielberg has won three Academy Awards . He has been nominated for seven Academy Awards for category of Best Director , winning two of them ( Schindlers List Saving Private Ryan ) , ten of films he directed were up for Best Picture Oscar trade , civil rights , war , terrorism ."
Spielberg,received five other nominations,Academy Awards,"Spielberg has won three Academy Awards . He has been nominated for seven Academy Awards for category of Best Director , winning two of them ( Schindlers List Saving Private Ryan ) , ten of films he directed were up for Best Picture Oscar trade , civil rights , war , terrorism ."
Spielberg,directed Jaws E.T. Extra-Terrestrial Jurassic Park,blockbuster films,"Three of Spielbergs filmsJaws , E.T . Extra-Terrestrial , Jurassic Parkachieved box office records , originated came to epitomize blockbuster film ."
Spielberg-directed films,unadjusted gross over 10 billion worldwide,highest-grossing director in history,"The unadjusted gross of all Spielberg-directed films exceeds 10 billion worldwide , making him highest-grossing director in history first to ever pass this milestone ( on approximately April 16th 2018 ) ."
Indiana Jones Last Crusade,released in,1989,"That same year , 1989 , saw release of Indiana Jones Last Crusade ."
teenage Indiana Jones,shown in,scout VR Troopers Power Rangers,The opening scene shows teenage Indiana Jones in scout VR Troopers Power Rangers .
Steven Spielberg,Class of 1969,BA 2002,"Steven Spielberg ( Class of 1969 , BA 2002 ) won two Oscars for Best Directing for Schindlers List Saving Private Ryan has directed number of other successful movies such as Jaws , E.T . Extra-Terrestrial , Jurassic Park ."
Steven Spielberg,won two Oscars for Best Directing,Schindlers List and Saving Private Ryan,"Steven Spielberg ( Class of 1969 , BA 2002 ) won two Oscars for Best Directing for Schindlers List Saving Private Ryan has directed number of other successful movies such as Jaws , E.T . Extra-Terrestrial , Jurassic Park ."
Steven Spielberg,directed,Jaws,"Steven Spielberg ( Class of 1969 , BA 2002 ) won two Oscars for Best Directing for Schindlers List Saving Private Ryan has directed number of other successful movies such as Jaws , E.T . Extra-Terrestrial , Jurassic Park ."
Steven Spielberg,directed,E.T. Extra-Terrestrial,"Steven Spielberg ( Class of 1969 , BA 2002 ) won two Oscars for Best Directing for Schindlers List Saving Private Ryan has directed number of other successful movies such as Jaws , E.T . Extra-Terrestrial , Jurassic Park ."
Steven Spielberg,directed,Jurassic Park,"Steven Spielberg ( Class of 1969 , BA 2002 ) won two Oscars for Best Directing for Schindlers List Saving Private Ryan has directed number of other successful movies such as Jaws , E.T . Extra-Terrestrial , Jurassic Park ."
John Dykstra,former industrial design major,BA,"Former industrial design major John Dykstra , who has been nominated five times for Academy Awards , won two Oscars for his special effects work on George Lucas film Star Wars Sam Raimi film Spider-Man 2 ."
John Dykstra,nominated five times for Academy Awards,BA,"Former industrial design major John Dykstra , who has been nominated five times for Academy Awards , won two Oscars for his special effects work on George Lucas film Star Wars Sam Raimi film Spider-Man 2 ."
John Dykstra,won two Oscars for special effects work,Star Wars,"Former industrial design major John Dykstra , who has been nominated five times for Academy Awards , won two Oscars for his special effects work on George Lucas film Star Wars Sam Raimi film Spider-Man 2 ."
John Dykstra,won two Oscars for special effects work,Spider-Man 2,"Former industrial design major John Dykstra , who has been nominated five times for Academy Awards , won two Oscars for his special effects work on George Lucas film Star Wars Sam Raimi film Spider-Man 2 ."
Deborah L. Scott,won Oscar for costume design,Titanic,Deborah L. Scott ( BA ) won Oscar for costume design for second biggest film of 1997 behind James Camerons Titanic ( which topped original Jurassic Park to become new recordholder for box office receipts ) .
Deborah L. Scott,BA,BA,Deborah L. Scott ( BA ) won Oscar for costume design for second biggest film of 1997 behind James Camerons Titanic ( which topped original Jurassic Park to become new recordholder for box office receipts ) .
Amistad,based on true story,like Schindlers List,"His next film , Amistad , was based on true story ( like Schindlers List ) , specifically about African slave rebellion ."
Amistad,did not do well at box office,despite decent reviews from critics,"Despite decent reviews from critics , it did not do well at box office ."
His next film,was based on true story,Amistad,"His next film , Amistad , was based on true story ( like Schindlers List ) , specifically about African slave rebellion ."
Amistad,was released under,DreamWorks Pictures,"Spielberg released Amistad under DreamWorks Pictures , which has produced all of his films from Amistad onwards with exception of Indiana Jones Kingdom of Crystal Skull , The Adventures of Tintin Ready Player One ."
DreamWorks Pictures,produced all of his films from,Amistad onwards,"Spielberg released Amistad under DreamWorks Pictures , which has produced all of his films from Amistad onwards with exception of Indiana Jones Kingdom of Crystal Skull , The Adventures of Tintin Ready Player One ."
Schindlers List,won award for,Best Film,"Schindlers List also won awards for Best Director ( Spielberg ) , Supporting Actor ( Ralph Fiennes ) , Adapted Screenplay , Cinematography , Score Editing ."
Schindlers List,won Academy Award for,Best Picture,"Schindlers List also won awards for Best Director ( Spielberg ) , Supporting Actor ( Ralph Fiennes ) , Adapted Screenplay , Cinematography , Score Editing ."
Schindlers List,won awards for,Best Director ( Spielberg ),"Schindlers List also won awards for Best Director ( Spielberg ) , Supporting Actor ( Ralph Fiennes ) , Adapted Screenplay , Cinematography , Score Editing ."
Schindlers List,won awards for,Supporting Actor ( Ralph Fiennes ),"Schindlers List also won awards for Best Director ( Spielberg ) , Supporting Actor ( Ralph Fiennes ) , Adapted Screenplay , Cinematography , Score Editing ."
Schindlers List,won awards for,Adapted Screenplay,"Schindlers List also won awards for Best Director ( Spielberg ) , Supporting Actor ( Ralph Fiennes ) , Adapted Screenplay , Cinematography , Score Editing ."
Schindlers List,won awards for,Cinematography,"Schindlers List also won awards for Best Director ( Spielberg ) , Supporting Actor ( Ralph Fiennes ) , Adapted Screenplay , Cinematography , Score Editing ."
Schindlers List,won awards for,Score Editing,"Schindlers List also won awards for Best Director ( Spielberg ) , Supporting Actor ( Ralph Fiennes ) , Adapted Screenplay , Cinematography , Score Editing ."
Anthony Hopkins,won award for,Best Actor ( Shadowlands ),"Schindlers List also won awards for Best Director ( Spielberg ) , Supporting Actor ( Ralph Fiennes ) , Adapted Screenplay , Cinematography , Score Editing ."
Holly Hunter,was voted Best Actress for,The Piano,Anthony Hopkins won award for Best Actor ( Shadowlands ) Holly Hunter was voted Best Actress for her role in The Piano .
The Piano,was voted Best British Film of 1993,Shadowlands,Shadowlands was voted Best British Film of 1993 .
Sir Kevin Sinfield,played last game for,Leeds,"Before match , 7 players of field were playing their last game for their club . For Sir Kevin Sinfield , Jamie Peacock Kylie Leuluai ( Leeds ) it was their last game of professional rugby league before retirement ."
Jamie Peacock,played last game for,Leeds,"Before match , 7 players of field were playing their last game for their club . For Sir Kevin Sinfield , Jamie Peacock Kylie Leuluai ( Leeds ) it was their last game of professional rugby league before retirement ."
Kylie Leuluai,played last game for,Leeds,"Before match , 7 players of field were playing their last game for their club . For Sir Kevin Sinfield , Jamie Peacock Kylie Leuluai ( Leeds ) it was their last game of professional rugby league before retirement ."
Matty Bowen,played last game for,St. Helens,"Before match , 7 players of field were playing their last game for their club . For Sir Kevin Sinfield , Jamie Peacock Kylie Leuluai ( Leeds ) it was their last game of professional rugby league before retirement ."
Why Didnt You Call Me,is fourth final single from,"Macy Grays debut album, On How Life Is (1999)","Why Didnt You Call Me is fourth final single from Macy Grays debut album, On How Life Is (1999) ."
Why Didnt You Call Me,became Grays third consecutive top forty hit on,UK Singles Chart,"In UK , Why Didnt You Call Me became Grays third consecutive top forty hit on UK Singles Chart ."
Why Didnt You Call Me,peaked at number twenty-five on,Adult Top 40 in US,The single peaked at number twenty-five on Adult Top 40 in US.
Why Didnt You Call Me,reached number twenty-nine on,Top 40 Mainstream chart,The single peaked at number twenty-five on Adult Top 40 in US reached number twenty-nine on Top 40 Mainstream chart .
Why Didnt You Call Me,missed Billboard Hot 100 only managed to chart on,Bubbling Under Hot 100 Singles at number seven,"However , song missed Billboard Hot 100 only managed to chart on Bubbling Under Hot 100 Singles at number seven ."
You Look So Fine,performed on,Si Musica on May 29,"Garbage perform You Look So Fine When I Grow Up on Si Musica on May 29 performed You Look So Fine for Gala Ragazza in Madrid , on June 3 as Version 2.0 is certified platinum in Spain ."
You Look So Fine,peaks at 15 on,Spanish radio stations,"To mark certification , RCA issue both You Look So Fine Temptation Waits to Spanish radio stations . You Look So Fine peaks at 15 on Spanish radio stations ."
Mr Verdant Green,first year undergraduate at,Oxford University,It covers exploits of Mr Verdant Green first year undergraduate at Oxford University .
Mr Verdant Green Adventures of Oxford Freshman,various editions have varying titles,Mr Verdant Green Adventures of Oxford Freshman,"Different editions have varying titles , including Mr Verdant Green Adventures of Oxford Freshman ."
Mr Verdant Green Adventures of Oxford Freshman,sequel entitled Little Mr Bouncer his friend Verdant Green,Little Mr Bouncer his friend Verdant Green,The same characters reappear in sequel entitled Little Mr Bouncer his friend Verdant Green .
Mr Verdant Green Adventures of Oxford Freshman,first published in three separate parts,Mr Verdant Green Adventures of Oxford Freshman,"The work was first published in three separate parts , in soft covers , by James Blackwood , during 1850s ( 1853 , 1854 1857 ) ."
Mr Verdant Green Adventures of Oxford Freshman,published by James Blackwood,Mr Verdant Green Adventures of Oxford Freshman,"The work was first published in three separate parts , in soft covers , by James Blackwood , during 1850s ( 1853 , 1854 1857 ) ."
Mr Verdant Green Adventures of Oxford Freshman,indicates Honeywood Hall is not traced guests visit Warkworth,Mr Verdant Green Adventures of Oxford Freshman,"Notices in early copies of book indicate Honeywood Hall is not traced guests visit Warkworth , Alnwick , Chillingham Castle to see wild cattle ."
Mr Verdant Green Adventures of Oxford Freshman,trip to Bamburgh Longstones light to talk to Grace Darlings father,Mr Verdant Green Adventures of Oxford Freshman,There is also trip to Bamburgh Longstones light to talk to Grace Darlings father .
Mr Verdant Green Adventures of Oxford Freshman,Verdant eventually gets married here,Mr Verdant Green Adventures of Oxford Freshman,Verdant eventually gets married here .
Bradley,knows area well,Bradley,"Bradley clearly knew area well paints attractive picture of wild landscape pleasures of riding , al fresco meals neighbourly contact , warmer for being more difficult than in crowded Midland counties ."
Bradley,admired by masters like George Cruikshank John Leech,Bradley,"Much amusement is had with local dialect customs , it is not condescending laugh is usually on Verdant Green . Cambridge Durham in 1850 . These drawings were much admired by masters like George Cruikshank John Leech ."
Cambridge Durham,admired by,masters like George Cruikshank John Leech,These drawings were much admired by masters like George Cruikshank John Leech.
Hippolyte Taine,used,Bradleys Oxford book for his description of English university life,Hippolyte Taine in his Notes sur lAngleterre ( 1872 ) drew on Bradleys Oxford book for his description of English university life.
Verdant Green,visited,Northumberland,It seems not to be widely known that no fewer than nine chapters of Part III are devoted to Verdant Greens visit to Northumberland.
Verdant Green,passes through,Darlington,On way he passes through Darlington.
Verdant Green,mentions,Durham Cathedral,"After mentioning Durham Cathedral Lord Durhams monument on Penshaw Hill , Verdant Green his party then pass over Robert Stephensons ( recently completed ) High Level Bridge at Newcastle ."
Verdant Green,passes over,High Level Bridge at Newcastle,"After mentioning Durham Cathedral Lord Durhams monument on Penshaw Hill , Verdant Green his party then pass over Robert Stephensons ( recently completed ) High Level Bridge at Newcastle ."
Robert Stephenson,recently completed,High Level Bridge at Newcastle,"After mentioning Durham Cathedral Lord Durhams monument on Penshaw Hill , Verdant Green his party then pass over Robert Stephensons ( recently completed ) High Level Bridge at Newcastle ."
Potter,was disciple of,"land conservation preservation ideals of her long-time friend mentor, Canon Hardwicke Rawnsley","Potter had been disciple of land conservation preservation ideals of her long-time friend mentor, Canon Hardwicke Rawnsley, first secretary founding member for footpaths other rural issues."
Potter,became keenly interested in,breeding raising of Herdwick sheep,"Soon after acquiring Hill Top Farm, Potter became keenly interested in breeding raising of Herdwick sheep, indigenous fell sheep."
Potter,bought large sheep farm in,Troutbeck Valley called Troutbeck Park Farm,"In 1923 she bought large sheep farm in Troutbeck Valley called Troutbeck Park Farm, formerly deer park, restoring its land with thousands of Herdwick sheep."
Potter,established as one of major,Herdwick sheep farmers in county,This established her as one of major Herdwick sheep farmers in county.
Potter,admired by her shepherds farm managers for,willingness to experiment with latest biological remedies for common diseases of sheep,"She was admired by her shepherds farm managers for her willingness to experiment with latest biological remedies for common diseases of sheep, for her employment of."
Potter,was President-elect of,Herdwick Sheepbreeders Association,"In 1942 she became President-elect of Herdwick Sheepbreeders Association, first time woman had ever been elected, died before taking office."
Herdwick flock,took many prizes at local agricultural shows,Potter her Hill Top farm manager Tom Storey had made name for their prize-winning Herdwick flock,"By late 1920s Potter her Hill Top farm manager Tom Storey had made name for their prize-winning Herdwick flock, which took many prizes at local agricultural shows, where Potter was often asked to serve as judge."
Herdwick flock,was managed by,Tom Storey,"By late 1920s Potter her Hill Top farm manager Tom Storey had made name for their prize-winning Herdwick flock, which took many prizes at local agricultural shows, where Potter was often asked to serve as judge."
Herdwick flock,was a prize-winning,Herdwick flock,"By late 1920s Potter her Hill Top farm manager Tom Storey had made name for their prize-winning Herdwick flock, which took many prizes at local agricultural shows, where Potter was often asked to serve as judge."
Herdwick flock,was managed by,Potter,"By late 1920s Potter her Hill Top farm manager Tom Storey had made name for their prize-winning Herdwick flock, which took many prizes at local agricultural shows, where Potter was often asked to serve as judge."
horizontal sundial,consists of,gnomon suitably mounted broad shadow shadow of style shows time,"These were novelties rather than precision sundials , sometimes installed in parks in Europe mainly in late 18th or early 19th century . They typically consist of horizontal sundial , which has in addition to gnomon suitably mounted broad shadow shadow of style shows time ."
horizontal sundial,consists of,gnomon rod wire or elaborately decorated metal casting,"These were novelties rather than precision sundials , sometimes installed in parks in Europe mainly in late 18th or early 19th century . They typically consist of horizontal sundial , which has in addition to gnomon suitably mounted broad shadow shadow of style shows time . The gnomon may be rod , wire , or elaborately decorated metal casting ."
style,parallel to,axis of Earth's rotation for sundial to be accurate throughout year,"The gnomon may be rod , wire , or elaborately decorated metal casting . The style must be parallel to axis of Earths rotation for sundial to be accurate throughout year ."
style,angle from horizontal is equal to,sundial's geographical latitude,"The gnomon may be rod , wire , or elaborately decorated metal casting . The style must be parallel to axis of Earths rotation for sundial to be accurate throughout year . The styles angle from horizontal is equal to sundials geographical latitude ."
sundial,uses,Suns altitude or azimuth to show time,"In broader sense , sundial is any device that uses Suns altitude or azimuth ( or both ) to show time ."
